Iteration,Delta,Xt,Sigma,OracleScaledLoss,OracleRuRms
1,0.219999998807907,0.430000007152557,0.159999996423721,0.002083507460682,0.00793578411817692
25,0.220531716942787,0.429800570011139,0.160175412893295,0.00208711123422349,0.00794309896220336
49,0.220925822854042,0.429535657167435,0.16030415892601,0.00209132424272885,0.00795153922582623
73,0.221069648861885,0.429990082979202,0.16036331653595,0.00208567734158106,0.00794053438758385
97,0.220665201544762,0.429561197757721,0.160252273082733,0.00209026933828067,0.00794937492209728
121,0.220210582017899,0.429055720567703,0.160123780369759,0.00209572908352249,0.00795988248847756
146,0.219767540693283,0.428591012954712,0.159999579191208,0.00210066134380451,0.00796935052170327
170,0.219351291656494,0.428122371435165,0.159883216023445,0.00210567944613119,0.00797898714160259
194,0.218972131609917,0.427692711353302,0.159780040383339,0.00211024800545459,0.00798775260976975
218,0.218642443418503,0.427320301532745,0.159695282578468,0.00211415967504276,0.00799525154007083
242,0.218368604779243,0.427028924226761,0.159632042050362,0.00211712918072665,0.00800093468921179
266,0.218145653605461,0.426831930875778,0.159589290618896,0.00211898381134756,0.00800446720376443
290,0.217961832880974,0.426737785339355,0.159563288092613,0.00211960063379558,0.0080056068875901
314,0.217804327607155,0.426751494407654,0.159549668431282,0.00211889755590826,0.00800418875870715
338,0.217663541436195,0.42687776684761,0.159545063972473,0.00211680043696213,0.00800006255080376
362,0.217533707618713,0.427124470472336,0.159547403454781,0.00211320020115017,0.0079930089693746
386,0.217412039637566,0.427504897117615,0.159555613994598,0.00210792230224661,0.00798267879814268
411,0.217292919754982,0.428062975406647,0.159569829702377,0.00210038539313506,0.00796792194968723
435,0.217185735702515,0.428773373365402,0.159588739275932,0.0020909357822776,0.00794939718800986
459,0.21708507835865,0.429665982723236,0.159612402319908,0.00207915608841206,0.00792625923074742
483,0.216988548636436,0.43073233962059,0.159639835357666,0.00206512352704455,0.00789862298722095
507,0.216890081763268,0.431933701038361,0.159668862819672,0.00204929458536812,0.00786734652286677
531,0.21677939593792,0.433198273181915,0.159696087241173,0.00203255330023597,0.00783414206217299
555,0.216643750667572,0.434431463479996,0.159717455506325,0.00201609695533865,0.00780136891377146
579,0.216473981738091,0.43552753329277,0.159730240702629,0.00200129892941461,0.00777177562639476
603,0.216268420219421,0.436375975608826,0.159733787178993,0.00198962571236031,0.00774833625721387
627,0.216034188866615,0.436878532171249,0.159729763865471,0.00198240025876966,0.00773376283791111
651,0.215795621275902,0.437016427516937,0.15972538292408,0.0019799138886973,0.00772869713394461
676,0.215590193867683,0.436954468488693,0.159736752510071,0.00198003826586357,0.00772889731826888
700,0.215477630496025,0.437098920345306,0.159780770540237,0.0019775759921766,0.00772393929185024
724,0.215429097414017,0.437811523675919,0.159856677055359,0.00196774094822768,0.00770415947927252
748,0.215333044528961,0.438898205757141,0.159930288791656,0.00195288534257778,0.00767416423713758
772,0.215085849165916,0.439770013093948,0.159965142607689,0.00194060873386774,0.00764923317622347
796,0.214661344885826,0.439908355474472,0.159946769475937,0.00193775234220849,0.00764330288159986
820,0.214113011956215,0.438943058252335,0.159882009029388,0.00194919558710233,0.00766632186692768
844,0.213614955544472,0.437175750732422,0.159820348024368,0.00197097988347007,0.00771015812244218
868,0.213368311524391,0.435528159141541,0.159835696220398,0.00199126064173085,0.00775086959126405
892,0.213348582386971,0.434416115283966,0.159932434558868,0.00200477275938876,0.00777797812546836
917,0.213365718722343,0.433550894260406,0.160054281353951,0.00201506270005451,0.0077986033092516
941,0.21326419711113,0.432674437761307,0.160139381885529,0.00202529613922563,0.00781901370145173
965,0.212987974286079,0.431613564491272,0.160174861550331,0.00203751519971308,0.00784324075034385
989,0.212550073862076,0.430395394563675,0.160166189074516,0.00205132394332447,0.00787047562889477
1013,0.212014257907867,0.429167807102203,0.160133600234985,0.00206492656190843,0.00789717787062313
1037,0.211446180939674,0.428068488836288,0.160098552703857,0.00207672247149721,0.00792023443867224
1061,0.210882395505905,0.427133619785309,0.160072728991508,0.00208636333291485,0.00793900692720383
1085,0.210351124405861,0.426354587078094,0.160063430666924,0.00209404870961275,0.00795392597632123
1109,0.209872499108315,0.425747185945511,0.160076171159744,0.0020996634534119,0.00796479463296868
1133,0.209445983171463,0.425305843353271,0.160111457109451,0.00210330467274301,0.00797181790242584
1157,0.209058195352554,0.425004005432129,0.160165771842003,0.00210529013064286,0.00797562031261884
1182,0.208678409457207,0.424816459417343,0.160237401723862,0.00210584458022418,0.00797663537397756
1206,0.20832185447216,0.424741804599762,0.160315826535225,0.00210510780008623,0.00797513554417344
1230,0.207961976528168,0.424759060144424,0.160399928689003,0.00210325568298998,0.00797145509894845
1254,0.207591816782951,0.42486035823822,0.160487100481987,0.00210038037087946,0.00796576798167506
1278,0.207207322120667,0.425040632486343,0.160575568675995,0.00209654467486478,0.007958191025634
1302,0.206809267401695,0.425307661294937,0.160665705800056,0.00209166312913335,0.00794855205995255
1326,0.206396460533142,0.425670832395554,0.160756811499596,0.00208563128449482,0.00793663829740964
1350,0.205967977643013,0.426125466823578,0.160847947001457,0.00207851084998214,0.00792256100798829
1374,0.205526456236839,0.426685035228729,0.160940155386925,0.00207014959741403,0.00790601108057086
1398,0.205073371529579,0.427372217178345,0.161034315824509,0.00206028359539929,0.00788645401322675
1422,0.204611286520958,0.428212076425552,0.161131501197815,0.00204862026649755,0.00786329143400828
1447,0.204124137759209,0.429271668195724,0.161237150430679,0.00203429625885585,0.00783477679040718
1471,0.203654915094376,0.430476635694504,0.161343812942505,0.00201833070275504,0.00780289946215322
1495,0.203188225626945,0.431860059499741,0.161456286907196,0.002000252944314,0.00776667680532298
1519,0.202727675437927,0.433400601148605,0.161574766039848,0.00198030691028052,0.00772654510496431
1543,0.202278777956963,0.435090988874435,0.161701530218124,0.00195856225717124,0.00768259191103627
1567,0.20184288918972,0.436882942914963,0.161834359169006,0.00193559446467955,0.00763592606166285
1591,0.201418936252594,0.438701242208481,0.161970749497414,0.00191230837797167,0.00758835033176248
1615,0.201004728674889,0.440516889095306,0.162109836935997,0.00188905660356935,0.00754057215587426
1639,0.200599491596222,0.442314237356186,0.162250995635986,0.00186603746379999,0.00749299672449484
1663,0.200201988220215,0.444082528352737,0.162393629550934,0.00184339159279899,0.00744591858951614
1687,0.199810996651649,0.445815116167068,0.162537291646004,0.00182121012104296,0.00739953569788873
1712,0.199409455060959,0.44757866859436,0.162687733769417,0.00179864852559737,0.00735207699207804
1736,0.199028730392456,0.449231535196304,0.162832736968994,0.00177752823777737,0.00730738741204609
1760,0.198652163147926,0.450846821069717,0.162978306412697,0.00175692250285754,0.00726353644429576
1784,0.198285937309265,0.452459782361984,0.16312849521637,0.00173639326363672,0.00721960309179693
1808,0.19793239235878,0.454060763120651,0.163281083106995,0.00171607422282911,0.00717587320757944
1832,0.197583258152008,0.455615192651749,0.163433432579041,0.00169639866373268,0.00713328448297896
1856,0.197235718369484,0.457125931978226,0.163585394620895,0.00167733681614912,0.00709178973186632
1880,0.196891576051712,0.458601206541061,0.163737580180168,0.00165879051864131,0.00705119254499346
1904,0.196551591157913,0.460047841072083,0.163890242576599,0.00164067925397674,0.00701133022816994
1928,0.196216627955437,0.461470603942871,0.164043620228767,0.00162294682569587,0.0069720902627888
1952,0.195887461304665,0.462872833013535,0.164197847247124,0.00160555426100079,0.00693339585637626
1977,0.195551529526711,0.464314162731171,0.164359539747238,0.00158776901639527,0.00689361288581105
2001,0.195236340165138,0.465681076049805,0.164515823125839,0.00157099304738453,0.00685588505410132
2025,0.194929227232933,0.467033207416534,0.164673298597336,0.0015544887072436,0.00681857335744181
2049,0.194638893008232,0.468401163816452,0.16483536362648,0.00153787096288435,0.00678081304743008
2073,0.194374084472656,0.469780713319778,0.165002048015594,0.00152118127184681,0.00674269494357265
2097,0.194116428494453,0.471131324768066,0.165168300271034,0.00150493776474642,0.00670539487992409
2121,0.19386188685894,0.472453534603119,0.16533362865448,0.00148913979139902,0.00666892244580924
2145,0.193613305687904,0.473754107952118,0.165498897433281,0.00147369982278595,0.00663308868601667
2169,0.193371996283531,0.475038051605225,0.165664225816727,0.00145855601957318,0.00659775959679761
2193,0.193138837814331,0.476308077573776,0.165829718112946,0.00144367403358027,0.00656286262758879
2217,0.192914590239525,0.477565616369247,0.165995419025421,0.00142903466880385,0.00652835934366806
2242,0.192691177129745,0.478863269090652,0.166168317198753,0.0014140288279007,0.00649280936008947
2266,0.192487046122551,0.48009780049324,0.166334569454193,0.00139984762573844,0.00645904031380814
2290,0.192293837666512,0.481321513652802,0.166499972343445,0.00138588460349767,0.00642562428745237
2314,0.192119061946869,0.48253345489502,0.166666194796562,0.00137212491585689,0.00639253469826162
2338,0.19196243584156,0.483747601509094,0.166834518313408,0.00135840504881979,0.00635938082166847
2362,0.191821336746216,0.484959632158279,0.167003110051155,0.00134478388592937,0.00632630310860983
2386,0.191687762737274,0.486157953739166,0.16717067360878,0.00133141190366952,0.00629366653296232
2410,0.19156239926815,0.4873426258564,0.167337477207184,0.00131828347567523,0.00626146430384011
2434,0.191447034478188,0.488515675067902,0.167503893375397,0.00130536794540462,0.0062296281477492
2458,0.191342636942863,0.489679008722305,0.167669966816902,0.00129263920791206,0.00619809918551608
2483,0.191256284713745,0.490900009870529,0.167844593524933,0.0012793296766972,0.00616497230306405
2507,0.191197946667671,0.492068320512772,0.16801355779171,0.00126662872374214,0.00613320742179769
2531,0.191145047545433,0.493219614028931,0.168180897831917,0.00125420472251576,0.00610197931478635
2555,0.191100016236305,0.494355887174606,0.168347150087357,0.00124202434101766,0.00607121296416594
2579,0.191064849495888,0.49548065662384,0.168512478470802,0.00123004075677951,0.00604079710062864
2603,0.191039711236954,0.496595531702042,0.168676555156708,0.0012182347053102,0.00601068764475794
2627,0.19103130698204,0.497700065374374,0.168838232755661,0.00120658691244023,0.00598084279698375
2651,0.191052079200745,0.498793125152588,0.169001206755638,0.00119505032823894,0.00595115233857445
2675,0.191088885068893,0.499889314174652,0.169164031744003,0.00118352360330367,0.0059213481664368
2699,0.191134691238403,0.500979661941528,0.16932487487793,0.00117212576808656,0.00589173508050203
2723,0.191188499331474,0.502060770988464,0.169484212994576,0.00116089149486904,0.00586240644174713
2748,0.191256791353226,0.503178179264069,0.169649332761765,0.00114933400202382,0.00583208842678863
2772,0.191345736384392,0.504256844520569,0.169808521866798,0.00113818697889433,0.00580271080892885
2796,0.191455736756325,0.505328774452209,0.169967547059059,0.00112711771006228,0.00577340349079204
2820,0.191573351621628,0.506388187408447,0.170125186443329,0.00111623505874791,0.00574445113407997
2844,0.191701769828796,0.507436275482178,0.170281812548637,0.00110551083802076,0.00571578517374526
2868,0.191842541098595,0.508475303649902,0.170437455177307,0.00109491409530116,0.00568732717027735
2892,0.191995710134506,0.509508430957794,0.170590698719025,0.00108441489610022,0.00565899869407531
